ZIP,LAT,LON
03890,43.801,-71.201
03894,43.604,-71.177
03901,43.299,-70.842
03902,43.215,-70.629
03903,43.146,-70.774
03904,43.108,-70.729
03905,43.086,-70.687
03906,43.352,-70.779
03907,43.256,-70.611
03908,43.230,-70.752
03909,43.166,-70.679
03910,43.185,-70.603
03911,43.142,-70.626
04001,43.520,-70.923
04002,43.489,-70.662
04003,43.727,-69.957
04005,43.492,-70.487
04006,43.444,-70.345
04008,44.044,-69.864
04009,44.048,-70.743
04010,43.931,-70.919
04011,43.896,-69.973
04015,43.976,-70.521
04017,43.739,-70.088
04019,43.686,-70.103
04020,43.767,-70.809
04021,43.792,-70.265
04022,43.996,-70.814
04024,43.836,-70.685
04027,43.400,-70.913
04029,43.903,-70.690
04030,43.589,-70.696
04032,43.845,-70.090
04037,44.102,-70.943
04038,43.704,-70.464
04039,43.905,-70.367
04040,44.143,-70.820
04041,43.849,-70.831
04042,43.631,-70.614
04043,43.393,-70.577
04046,43.430,-70.474
04047,43.733,-70.899
04048,43.688,-70.782
04049,43.746,-70.700
04050,43.686,-70.154
04051,44.192,-70.886
04055,43.976,-70.639
04056,43.660,-70.884
04057,44.102,-70.699
04061,43.634,-70.739
04062,43.795,-70.405
04063,43.500,-70.395
04064,43.525,-70.388
04066,43.766,-69.967
04068,43.838,-70.947
04069,43.904,-70.182
04071,43.927,-70.451
04072,43.550,-70.466
04073,43.419,-70.748
04074,43.590,-70.366
04076,43.554,-70.833
04079,43.791,-69.972
04083,43.464,-70.814
04084,43.762,-70.567
04085,43.773,-70.617
04086,43.965,-69.956
04087,43.569,-70.744
04088,44.203,-70.722
04090,43.331,-70.646
04091,43.839,-70.745
04092,43.708,-70.353
04093,43.636,-70.539
04095,43.629,-70.914
04096,43.788,-70.156
04097,43.846,-70.242
04101,43.663,-70.258
04102,43.655,-70.298
04103,43.694,-70.288
04105,43.740,-70.277
04106,43.631,-70.286
04107,43.587,-70.236
04108,43.660,-70.186
04109,43.638,-70.171
04110,43.746,-70.180
04210,44.085,-70.250
04216,44.709,-70.855
04217,44.380,-70.815
04219,44.401,-70.558
04220,44.343,-70.347
04221,44.482,-70.277
04222,43.956,-70.132
04224,44.560,-70.416
04226,44.594,-70.693
04227,44.568,-70.293
04228,44.433,-70.115
04231,44.263,-70.875
04234,44.624,-70.192
04236,44.190,-70.145
04237,44.495,-70.734
04238,44.209,-70.389
04239,44.517,-70.202
04240,44.090,-70.172
04250,44.011,-70.127
04252,44.037,-70.059
04253,44.412,-70.216
04254,44.445,-70.138
04255,44.346,-70.656
04256,44.105,-70.405
04257,44.553,-70.495
04258,44.138,-70.336
04259,44.234,-70.015
04260,43.958,-70.296
04261,44.504,-70.962
04263,44.295,-70.133
04265,44.279,-70.043
04267,44.207,-70.792
04268,44.226,-70.610
04270,44.117,-70.527
04271,44.264,-70.498
04274,44.048,-70.394
04275,44.703,-70.648
04276,44.560,-70.625
04280,44.117,-70.063
04281,44.248,-70.491
04282,44.265,-70.248
04284,44.363,-70.061
04285,44.698,-70.449
04286,44.401,-70.865
04287,44.051,-69.968
04289,44.319,-70.523
04290,44.461,-70.452
04292,44.386,-70.450
04294,44.638,-70.275
04330,44.352,-69.748
04342,44.086,-69.737
04343,44.329,-69.892
04344,44.261,-69.828
04345,44.195,-69.794
04346,44.237,-69.751
04347,44.287,-69.818
04348,44.211,-69.499
04349,44.434,-70.067
04350,44.172,-69.935
04351,44.342,-69.862
04352,44.466,-69.960
04353,44.198,-69.620
04354,44.396,-69.431
04355,44.384,-69.950
04357,44.117,-69.830
04358,44.414,-69.535
04359,44.178,-69.763
04360,44.555,-70.000
04363,44.315,-69.571
04364,44.310,-69.963
04401,44.849,-68.850
04406,45.229,-69.597
04408,44.894,-68.304
04410,45.088,-68.907
04411,44.868,-68.586
